url,categoria,nombre,variante,sku,marca,precio_lista,precio_transferencia,stock,descripcion,imagen
https://carlosisla.com.ar/productos/zedra-espejo-ring-red-m-alum-oro-70cm-rin070o-yp5yg/,Terminaciones > Espejos > Zedra,ZEDRA ESPEJO CAPSULE OVAL ORO 40X80CM- CAP040O,único,111100607/I,Marca,134899.2,134810.23,,"Comprá online ZEDRA ESPEJO CAPSULE OVAL ORO 40X80CM- CAP040O por $134.899,20. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/zedra-espejo-capsule-oval-oro-40x80cm-cap040o-7db0eea864630a94b817665190292836-480-0.webp
https://carlosisla.com.ar/productos/zedra-espejo-capsule-oval-negro-40x80cm-cap040n-zp9qp/,Terminaciones > Espejos > Zedra,ZEDRA ESPEJO CAPSULE OVAL ORO 40X80CM- CAP040O,único,111100607/I,Marca,134899.2,121413.35,,"Comprá online ZEDRA ESPEJO CAPSULE OVAL ORO 40X80CM- CAP040O por $134.899,20. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/zedra-espejo-capsule-oval-oro-40x80cm-cap040o-7db0eea864630a94b817665190292836-480-0.webp
https://carlosisla.com.ar/productos/zedra-espejo-capsule-oval-cromo-40x80cm-cap040c-0h7ov/,Terminaciones > Espejos > Zedra,ZEDRA ESPEJO RING RED. M.ALUM.CROMO 70CM- RIN070C,único,111100607/E,Marca,149784.61,121405.19,,"Comprá online ZEDRA ESPEJO RING RED. M.ALUM.CROMO 70CM- RIN070C por $149.784,61. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/zedra-espejo-ring-red-m-alum-cromo-70cm-rin070c-04ca1070552476f2e617665193091109-480-0.webp
https://carlosisla.com.ar/productos/zedra-espejo-capsule-oval-oro-40x80cm-cap040o-1cdw2/,Terminaciones > Espejos > Zedra,ZEDRA ESPEJO RING RED. M.ALUM.NEGRO 70CM- RIN070N,único,111100607/D,Marca,149793.67,121409.28,,"Comprá online ZEDRA ESPEJO RING RED. M.ALUM.NEGRO 70CM- RIN070N por $149.793,67. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/zedra-espejo-ring-red-m-alum-negro-70cm-rin070n-3-6265d55c9427aecc6b17665193318839-480-0.webp
https://carlosisla.com.ar/productos/nobili-abh87118-2cr-abc-monoc-lavatorio-corto-cromo-5i25r/,Terminaciones > Griferías > Griferías para Lavatorio > Nobili,NOBILI-SEE124118/2CR SEVEN MONOC. LAVATORIO CORTO CROMO,único,111100600/Ñ,Nobili,632973.05,324898.9,,"Comprá online NOBILI-SEE124118/2CR SEVEN MONOC. LAVATORIO CORTO CROMO por $632.973,05. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-see124118-2cr-seven-monoc-lavatorio-corto-cromo-d2384c0ed3771b92d417667625346764-480-0.webp
https://carlosisla.com.ar/productos/nobili-abh87128-2cr-abc-monoc-lavatorio-alto-cromo-76bk8/,Terminaciones > Griferías > Griferías para Lavatorio > Nobili,NOBILI-SAH99118/2CR SAND MONOC. LAVATORIO CORTO CROMO,único,111100600/K,Nobili,458021.31,526016.4,,"Comprá online NOBILI-SAH99118/2CR SAND MONOC. LAVATORIO CORTO CROMO por $458.021,31. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-sah99118-2cr-sand-monoc-lavatorio-corto-cromo-e0fc8cede942a8c4cf17667617932317-480-0.webp
https://carlosisla.com.ar/productos/nobili-vabh87119-1cr-abc-monoc-bidet-cromo-83eom/,Terminaciones > Griferías > Griferías para Bidet > Nobili,NOBILI-VSAH99119/1CR SAND MONOC. BIDET CROMO,único,111100600/M,Nobili,479180.12,339645.01,,"Comprá online NOBILI-VSAH99119/1CR SAND MONOC. BIDET CROMO por $479.180,12. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-vsah99119-1cr-sand-monoc-bidet-cromo-cc09b8220e4c34df8317667617312455-480-0.webp
https://carlosisla.com.ar/productos/nobili-ab87100cr-abc-vista-monoc-ducha-c-transf-cromo-95lgv/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-AV00110/11CR ABC/SAND KIT DE DRENAJE CROMO,único,111100600/AH,Nobili,206174.01,506275.79,,"Comprá online NOBILI-AV00110/11CR ABC/SAND KIT DE DRENAJE CROMO por $206.174,01. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-av00110-11cr-abc-sand-kit-de-drenaje-cromo-b0f5006628a56fe0c017667708500650-480-0.webp
https://carlosisla.com.ar/productos/nobili-ab87110-1cr-abc-monoc-ducha-c-transf-cromo-a3d3g/,Terminaciones > Griferías > Griferías para Ducha / Bañera > Nobili,NOBILI-SE124100/ECR SEVEN VISTA MONOC. DUCHA C/TRANSF CROMO,único,111100600/U,Nobili,523693.25,648869.15,,"Comprá online NOBILI-SE124100/ECR SEVEN VISTA MONOC. DUCHA C/TRANSF CROMO por $523.693,25. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-se124100-ecr-seven-vista-monoc-ducha-c-transf-cromo-2f9655da98935b291517676999117059-480-0.webp
https://carlosisla.com.ar/productos/nobili-sah99118-2cr-sand-monoc-lavatorio-corto-cromo-b5swm/,Terminaciones > Griferías > Griferías para Lavatorio > Nobili,NOBILI-ABH87128/2CR ABC MONOC. LAVATORIO ALTO CROMO,único,111100600/C,Nobili,584462.67,412219.18,,"Comprá online NOBILI-ABH87128/2CR ABC MONOC. LAVATORIO ALTO CROMO por $584.462,67. Hacé tu pedido y pagalo online.",https://acdn-us.mitiendanube.com/stores/001/164/733/products/nobili-abh87128-2cr-abc-monoc-lavatorio-alto-cromo-7a1efd4dbefd558afe17667618699536-480-0.webp
