url,categoria,subcategoria,nombre,sku,marca,precio_ars,stock,unidad,tamano,material,uso,imagen
https://www.neuconmateriales.com.ar/catalog/product/view/id/6404,Construcción,"Alambres, mallas y tejidos",Alambre atar acero recocido calibre Nº17 x ø 1.42mm rollo x 50kg,VARIAS-ALA014,VARIAS,3927.781,1465,ROLLO,50kg,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-ala016v2_2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/18770,Construcción,"Alambres, mallas y tejidos",Alambre atar acero recocido calibre Nº8 x ø 4.06mm rollo x kg,VARIAS-ALA019,VARIAS,3668.236,759,ROLLO,1kg,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-ala016v2_3.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/29091,Construcción,"Alambres, mallas y tejidos",Malla plastica tejido 100mm x 100mm sosten aislante reforzada apto tensar 2m x 100m rollo x 200m²,VARIAS-MP100100200,VARIAS,369557.474,14,ROLLO,200m²,Polipropileno,Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-mp100100200_1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/53890,Construcción,"Cementos, hormigones, cales y otros",Cemento albañileria Maestro Ecoplanet bolsa x 25kg,HOLCIM-10062763-25,HOLCIM,8735.4377,640,BOLSA,0.25kg,Cementicios,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/m/a/maestro25.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/32049,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa estampada semilla de melon 1/8"" 1.245m x 3m x 3.2mm",VARIAS-14203,VARIAS,524824.19,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14203_1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23491,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa lisa LAC 1/8"" 1.5m x 3m x 3.2mm",PRADECON-14111,PRADECON,261513.791,11,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14113v2_1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23492,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa lisa LAC 3/16"" 1.5m x 3m x 4.75mm",PRADECON-14112,PRADECON,413282.155,10,UNIDAD,1.5x3m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14113v2_2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23500,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa lisa LAC 5/16"" 1.5m x 6m x 8mm",PRADECON-14120,PRADECON,1290299.472,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14122v2_1_3.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23488,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAC C14 1.245m x 2.44m x 2mm,PRADECON-14103,PRADECON,116734.387,19,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14104v2_1.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28142,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa LAF C14 2mm x 1.00m x 2.00m,TERNIUM-0001817811,TERNIUM,90898.0435,2,UNIDAD,,Fibrado,Exterior,https://media.xcons.com.ar/media/catalog/product/t/e/ternium-0001817811grn.jpg
